schemaTuple,visited,timesVisited,id
translatableitemconnectionedges,True,12,0f5cebd6-736b-5b70-822f-2d0c55d915ad
translatableitemconnectiontotalcount,False,0,
translatableitemedgenode,True,12,0f5cebd6-736b-5b70-822f-2d0c55d915ad
translatableitemedgecursor,False,0,
producttranslatablecontentid,True,3,c3b99a78-1f0b-5d9c-b22c-b9c506a5f737
producttranslatablecontentseotitle,False,0,
producttranslatablecontentseodescription,False,0,
producttranslatablecontentname,True,4,c3b99a78-1f0b-5d9c-b22c-b9c506a5f737
producttranslatablecontentdescription,False,0,
producttranslatablecontentdescriptionjson,False,0,
producttranslatablecontenttranslation,True,4,c3b99a78-1f0b-5d9c-b22c-b9c506a5f737
producttranslatablecontentproduct,True,3,c3b99a78-1f0b-5d9c-b22c-b9c506a5f737
producttranslationid,True,8,0f9d4476-ac2f-5e6a-b4d0-d9549fe92776
producttranslationseotitle,True,8,0f9d4476-ac2f-5e6a-b4d0-d9549fe92776
producttranslationseodescription,True,8,0f9d4476-ac2f-5e6a-b4d0-d9549fe92776
producttranslationname,True,14,55147efb-d57b-55e6-8f17-bdec09d0045d
producttranslationdescription,False,0,
producttranslationdescriptionjson,True,8,0f9d4476-ac2f-5e6a-b4d0-d9549fe92776
producttranslationlanguage,True,10,55147efb-d57b-55e6-8f17-bdec09d0045d
productid,True,135,b40eee90-1a81-5d74-9b39-b8329459289e
productseotitle,True,19,031cf738-f70f-5003-b4f2-c39b92486d49
productseodescription,True,19,031cf738-f70f-5003-b4f2-c39b92486d49
productname,True,149,b40eee90-1a81-5d74-9b39-b8329459289e
productdescription,True,2,82801870-69a7-5b4f-8ae0-ae49376eed76
productdescriptionjson,True,18,031cf738-f70f-5003-b4f2-c39b92486d49
productpublicationdate,True,2,c2c0ffa9-f6dd-532b-96c1-48bfe173c171
productproducttype,True,27,d395a985-5b99-5863-9315-a4209a8fe8a7
productslug,True,16,6bbb6e9f-bb4a-5d36-be00-9b55956a6c94
productcategory,True,40,031cf738-f70f-5003-b4f2-c39b92486d49
productupdatedat,True,10,d395a985-5b99-5863-9315-a4209a8fe8a7
productchargetaxes,False,0,
productweight,True,10,26e3a3e6-9dd5-5cc4-8708-670dd6986d22
productavailableforpurchase,True,20,031cf738-f70f-5003-b4f2-c39b92486d49
productvisibleinlistings,True,10,26e3a3e6-9dd5-5cc4-8708-670dd6986d22
productdefaultvariant,False,0,
productprivatemetadata,True,4,40492711-a74a-5099-93f1-90ab0f3cf271
productmetadata,True,4,c2c7b251-af9f-5bc7-8855-f607cc7e07ae
productthumbnail,True,118,b40eee90-1a81-5d74-9b39-b8329459289e
productpricing,True,55,d395a985-5b99-5863-9315-a4209a8fe8a7
productisavailable,True,21,031cf738-f70f-5003-b4f2-c39b92486d49
productminimalvariantprice,False,0,
producttaxtype,False,0,
productattributes,True,35,7b4bdb8a-0b21-54d5-a4c7-e53b82b877ea
productpurchasecost,True,2,bdbd3846-5d38-56c7-8a8e-030788fca808
productmargin,True,2,bdbd3846-5d38-56c7-8a8e-030788fca808
productimagebyid,True,1,0c065e94-6e2d-5de6-9462-bb076f1795d5
productvariants,True,17,031cf738-f70f-5003-b4f2-c39b92486d49
productimages,True,12,031cf738-f70f-5003-b4f2-c39b92486d49
productcollections,True,1,8d8f314c-3759-56cf-917c-7f05c37d1523
producttranslation,True,10,55147efb-d57b-55e6-8f17-bdec09d0045d
productisavailableforpurchase,True,20,031cf738-f70f-5003-b4f2-c39b92486d49
productispublished,True,22,d395a985-5b99-5863-9315-a4209a8fe8a7
producttypeid,True,25,b3e80b84-861f-52b9-a05c-b75ee208635a
producttypename,True,49,d395a985-5b99-5863-9315-a4209a8fe8a7
producttypeslug,False,0,
producttypehasvariants,True,6,7046f5ba-c501-5f7d-9bfe-1291399bbaca
